,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
LaSO,mp-28626,15.18287669,2.5364000000000004,401375.489,399387.063,401375.489
Ba3NbGa3(SiO7)2,mp-12881,11.44765274,5.0348,401913.428,394148.022,401913.428
K2RuO5,mp-1201514,7.79257555,2.1703,406058.663,387314.48,406058.663
Ba2CaTeO6,mp-550685,15.56442423,4.9358,407100.699,404104.331,407100.699
Sc2O3,mp-216,16.59347878,5.7089,411824.368,408805.765,411824.368
Ba2Li(BO2)5,mp-6075,7.7167700266666674,6.7512,414372.568,399118.017,414372.568
BaLa2BeO5,mp-18414,19.09137556,5.451500000000001,408777.184,415962.091,415962.091
BaCeO3,mp-3187,24.419363623333336,4.1549,417168.372,413231.04,417168.372
Sr2CaTeO6,mp-11982,12.45525813,5.125299999999999,418098.641,409994.237,418098.641
La2O3,mp-2292,16.46901874,4.990399999999999,418212.408,411684.256,418212.408
Ba2SrTeO6,mp-13356,14.947939163333334,5.0553,419271.805,416646.142,419271.805
Ba2CaMoO6,mp-19403,26.36222914,3.4222,422175.549,421622.221,422175.549
Sr3TeO6,mp-768941,12.00554439,4.9373000000000005,422890.752,412609.489,422890.752
Na5TaO5,mp-8957,7.006117616666666,4.0844000000000005,423504.442,409631.584,423504.442
Ba2Ti(SiO4)2,mp-6081,11.96903428,5.7955,424183.391,419943.121,424183.391
LaAsO4,mp-772261,10.45682042,5.8253,421910.812,425244.781,425244.781
Sr2CaMoO6,mp-19116,19.02709683,3.7678,427620.344,416135.685,427620.344
Na2TlPCO7,mp-756769,7.1552476233333335,2.97,428382.692,422685.541,428382.692
BaBAsO5,mp-9784,8.324789493333332,5.4837,429207.06,424096.218,429207.06
BPPbO5,mp-21266,12.76392848,6.3558,429570.061,424511.065,429570.061
Ca3CdO4,mp-755287,14.65625695,4.215299999999999,431236.746,430518.556,431236.746
CaCdO2,mp-753287,16.17857856666667,1.8084,431331.948,430561.943,431331.948
K2TlPCO7,mp-1178146,7.563588353333333,3.0748,432787.2,427356.198,432787.2
Ba3(AsO4)2,mp-9783,14.325379853333336,6.0664,434185.775,430654.012,434185.775
Ca2PbO4,mp-21137,13.058541989999998,2.7223,435366.616,432698.969,435366.616
Ba6Na2Nb2V2O17,mp-1228103,19.546794586666667,4.2796,435563.597,404196.033,435563.597
B4PbO7,mp-9747,11.727774823333334,5.6882,437411.642,438281.896,438281.896
TaInO4,mp-8979,14.830086216666666,5.3047,439255.843,438678.478,439255.843
Ba2AlInO5,mp-556282,16.624340296666666,3.3959,440989.656,437504.721,440989.656
PbCO3,mp-19893,14.694196943333331,4.5598,442559.794,440317.927,442559.794
Pb2CO4,mp-505702,12.257477989999998,4.5427,450561.452,448465.68,450561.452
Y2BeAlBO7,mp-1216100,11.423224799999998,6.8906,453773.369,443761.934,453773.369
BaVPO6,mp-18520,11.17263776,3.7877,456656.267,456247.745,456656.267
SrBeB2O5,mp-1020654,7.82303695,7.6123,461900.139,447623.376,461900.139
Sr4Ta2O9,mp-769271,14.444383996666668,5.9196,463676.997,425527.927,463676.997
B10(Pb2O7)3,mp-27184,9.604073780000004,4.575900000000001,463894.211,432691.259,463894.211
BaNiO3,mp-19241,22.80912954333333,3.1978,464941.229,465101.729,465101.729
GePbO3,mp-554699,10.367858813333337,4.0355,466377.693,446074.501,466377.693
Sc2SO2,mp-7288,16.997838923333333,3.2526,468054.62,467420.056,468054.62
BaBeSiO4,mp-550751,8.477410586666668,6.3500000000000005,468832.871,467577.658,468832.871
P2Pb3O8,mp-505799,13.273471943333334,5.0147,470697.467,460871.347,470697.467
KNb3O8,mp-27998,18.657352696666667,3.9425,470753.508,460385.171,470753.508
La2MgNiO6,mp-1542014,22.30668629666667,2.7076,475849.409,474456.448,475849.409
BaBe2Si2O7,mp-12797,9.10931809,7.666300000000001,478996.731,471048.901,478996.731
La2Be2GeO7,mp-19926,12.477309343333332,6.487,477090.425,479048.144,479048.144
CsMnO4,mp-18994,5.416619286666666,3.4639,478536.193,480056.439,480056.439
Ba2YSbO6,mp-6492,19.80794214,5.6134,482546.509,482049.873,482546.509
Rb2Be2Si2O7,mp-557027,5.453729736666667,6.32,484992.752,472058.289,484992.752
P2Pb4SO12,mp-1220066,11.577382143333336,5.184699999999999,485090.402,469680.231,485090.402
CaTiO3,mp-4019,280.55215875666664,3.8441,491148.106,492750.435,492750.435
Ba8Zr3(SbO6)4,mp-667372,20.96453440333333,4.8842,493174.037,461602.102,493174.037
Ba3SrTa2O9,mp-540950,15.59566003,5.6875,494846.737,483992.909,494846.737
Ta2PbO6,mp-771957,48.90621182333334,3.7363,496854.105,495260.623,496854.105
Ba2LaSbO6,mp-551269,19.583421013333336,5.7908,498942.827,497563.705,498942.827
Nb2SnO6,mp-3324,38.70892546333334,2.3628000000000005,499422.025,494302.219,499422.025
LaTiSbO6,mp-1222719,21.227399883333334,4.5562000000000005,504286.818,499643.466,504286.818
Ca2Ti3O8,mp-1540712,40.367344906666666,4.315300000000001,507552.651,503676.532,507552.651
Y2TiO5,mp-17559,14.945729963333331,5.1346,500973.127,509893.768,509893.768
SrTiO3,mp-4651,420.7824508466667,3.378,510155.97,510688.588,510688.588
Ca2ScSbO6,mp-1189528,17.23835777,5.618699999999999,513444.299,503980.023,513444.299
Sr2YSbO6,mp-12878,15.563083896666663,5.7198,513514.785,504147.863,513514.785
Ta2SnO6,mp-556489,31.47536326333333,2.9968000000000004,514517.043,501408.179,514517.043
