,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
TaS2,mp-1984,1.049722053,0.0,324263.025,324230.925,324263.025
Cd2B2O5,mp-7210,8.29930992,4.38,325844.649,322489.912,325844.649
B2O3,mp-306,5.328248283,8.4313,326103.805,325548.974,326103.805
Ag3AsO4,mp-1229124,11.62712616,1.4224,326388.288,323863.848,326388.288
TaPbS2,mp-20985,1.93075448,0.0,327546.069,327466.7,327546.069
TaPbSe2,mp-567736,1.572765253,0.0,327994.519,328304.325,328304.325
CsSc(SO4)2,mp-1213159,7.277258013,6.2794,327481.437,328658.635,328658.635
CsSnPS4,mp-1193634,12.93961851,2.9215,328938.822,322025.425,328938.822
CsSbSe2,mp-2969,13.63216194,1.8483,331329.998,330538.151,331329.998
Cu2O3,mp-771359,1.21849084,0.0,329039.942,331677.149,331677.149
TaInS2,mp-22332,1.297608857,0.0,331711.229,332561.711,332561.711
CsSbO2,mp-510273,8.56056554,3.4654,332127.958,332760.474,332760.474
TaS3,mp-30527,1.050838197,0.0,334221.355,329557.982,334221.355
TaNO,mp-4165,25.2337531,3.0601,332345.26,334995.772,334995.772
TaNi2TeSe,mp-622009,1.156517997,0.0,336530.03,335988.895,336530.03
Ag5BiO4,mp-28812,23.7642811,2.571,337848.474,320532.986,337848.474
CuAsS,mp-5305,1.23023653,0.5986,333202.28,338193.456,338193.456
TaTi(PO4)3,mp-1244815,11.70227987,4.6787,338268.5,325285.227,338268.5
AuSe,mp-2793,1.003082387,0.4011,338326.91,338676.67,338676.67
CsS,mp-29266,5.103039057,2.7599,338161.393,338885.577,338885.577
Tl6TeO12,mp-14410,62.50285237,0.7069,340087.026,339028.709,340087.026
Li2GePbS4,mp-19896,22.94909617,3.1342,343273.933,342738.906,343273.933
CsS3,mp-1188913,6.821852697,2.5526,343846.088,340701.809,343846.088
CaO,mp-2605,14.67328343,5.4199,343168.818,343949.697,343949.697
Li2HfO3,mp-755352,21.11906749,6.0322,344954.406,343690.875,344954.406
CsPS3,mp-504838,5.586683277,2.9646,345442.585,344437.785,345442.585
CuAsPbO4,mp-557871,10.3475532,3.16,344068.541,345538.366,345538.366
NaLa(CO3)2,mp-559868,9.392993987,6.7338,345678.913,340644.626,345678.913
TaPO5,mp-541740,14.58318482,4.5184,346015.589,336849.295,346015.589
CsPt2Se3,mp-573316,11.21608649,2.1965,347113.755,345570.308,347113.755
Tl5Se3,mp-568380,1.28311573,0.1285,348819.854,341429.365,348819.854
RbAu3Se2,mp-9385,10.93642882,1.9314,348093.911,348863.16,348863.16
CsNO2,mp-3288,5.530088393,4.246,349106.768,348342.848,349106.768
