,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
Nb4Pb3O13,mp-1173546,1598.3004773566663,3.2330999999999994,501163.55,492046.175,501163.55
Sc2(SO4)3,mp-16800,8.011829333333333,6.638,502984.63,494755.919,502984.63
Si2Hg6O7,mp-28712,12.094382746666668,2.3438,503070.516,500862.322,503070.516
SO2,mp-27726,4.337389736666667,4.3181,503740.671,503548.693,503740.671
CsSiBiS4,mp-558426,18.556480776666668,3.1556999999999995,504291.738,497236.817,504291.738
Na4Ti5O12,mp-555678,52.56562631,4.1197,504801.766,498314.922,504801.766
In2(SO4)3,mp-541450,5.160524926666668,6.0158000000000005,505487.799,490038.232,505487.799
Sb2S3,mp-2809,46.99526233,1.7475000000000005,506869.754,506513.987,506869.754
Sb2Se3,mp-2160,48.485901680000005,1.4915000000000005,506898.243,504499.584,506898.243
Sb3RhPb4O13,mp-1219543,762.2721914333333,1.2556000000000005,509017.933,504665.385,509017.933
LaVO4,mp-19162,11.836197676666666,4.3554,509473.13,510398.539,510398.539
Na4TeO5,mp-15391,9.350149613333333,3.7526,510531.587,501662.139,510531.587
Sb2TeSe2,mp-8612,232.4779186333334,0.5266000000000002,511069.123,506610.481,511069.123
HgSe,mp-820,42.66827793,0.0,512368.363,512089.603,512368.363
Se2O5,mp-27358,11.020772813333332,4.4021,514023.327,506089.658,514023.327
Na4MoO5,mp-29984,10.41804002333334,4.3685,514121.608,486322.935,514121.608
NaSe2,mp-15514,10.31105158,2.087,516600.039,511710.826,516600.039
ScSb3Pb4O13,mp-1219278,20.852394773333334,2.4676,516965.309,514133.303,516965.309
RuS2,mp-2030,20.78598064,1.5680999999999994,515226.126,517277.577,517277.577
ScAlCO,mp-1080747,21.25933583666667,2.2283,519620.174,519340.647,519620.174
NaScO2,mp-7914,15.499721666666666,5.8422,517399.963,520363.222,520363.222
BaNaPO4,mp-1227883,12.172662963333332,6.4763,520584.034,518130.4,520584.034
Na4SnO4,mp-9655,6.494045936666666,3.7237,521691.063,510291.439,521691.063
NaScAs2O7,mp-550925,10.873906083333331,5.5225,522192.516,520627.825,522192.516
Na3SiSnBO7,mp-772986,7.852389406666667,4.7708,522527.421,513665.407,522527.421
Ag2CO3,mp-4691,12.274823626666668,1.9153,520021.441,522560.52,522560.52
Na4Cd2Si3O10,mp-556413,6.24459236,4.4506,523372.718,501542.646,523372.718
ScAgS2,mp-1094066,17.783078393333334,2.1755999999999998,522980.229,523834.092,523834.092
S8O,mp-27465,4.920498786666666,3.2466,525013.435,515080.526,525013.435
HgPS3,mp-27178,12.31207782666667,2.8071,525411.74,521290.884,525411.74
Na4Sn3S8,mp-29626,11.416755503333334,2.8546000000000005,525890.855,514346.424,525890.855
LaTiSbO6,mp-1222719,21.227399883333334,4.5562000000000005,527037.64,525459.6950000001,527037.64
ScAg(PS3)2,mp-8616,10.050583263333332,2.96,527600.667,524616.621,527600.667
HgO,mp-1224,12.451535063333337,2.2628,528876.9650000001,529622.113,529622.113
Sc2SO2,mp-7288,16.997838923333333,3.2526,532190.0970000001,530693.281,532190.0970000001
Rh2S3,mp-17173,26.047280123333334,1.1519999999999992,533145.337,528307.672,533145.337
LaTe2Se,mp-4034,7.83944309,0.0,533338.169,532010.9110000001,533338.169
CsLaO2,mp-1178449,18.672065516666667,4.2635,536863.046,535428.621,536863.046
HgP2PdO7,mp-1190352,8.56292435,3.4699,537075.469,533153.288,537075.469
HgMoO4,mp-19363,13.77961672,3.5694,542198.5700000001,539796.1599999999,542198.5700000001
ScBi3(MoO6)2,mp-1209046,25.44835845333333,3.7341,542274.814,531817.979,542274.814
NaPt2Se3,mp-28987,15.26077493,2.0144,542839.4010000001,541034.9099999999,542839.4010000001
CoSbS,mp-5881,35.38569265,1.2058999999999995,544523.885,546506.135,546506.135
Sc2TlCu3S5,mp-1209018,22.49619374666667,1.9831000000000003,547677.2490000001,538719.105,547677.2490000001
Nb2PdS6,mp-1080466,1.24632979,0.0,546311.961,548185.1950000001,548185.1950000001
Sc2(SeO3)3,mp-31065,8.532892396666668,5.6942,551506.287,543307.22,551506.287
Sc2Se3,mp-1205354,23.25900845,1.3009,544606.4450000001,553536.091,553536.091
Ga10GePb3O20,mp-504827,12.350417196666664,4.2999,553647.954,536463.807,553647.954
FePS,mp-1101971,32.04868195,1.3520000000000003,549854.219,555054.351,555054.351
GaAgSnSe4,mp-1224848,12.02672234,1.7123,556056.815,554350.5719999999,556056.815
Na3Sc2(BO3)3,mp-561018,9.252424436666663,5.3703,557094.51,554207.8389999999,557094.51
FeAsS,mp-561511,35.299793580000006,1.4480000000000004,551715.238,557675.899,557675.899
SbAsO3,mp-28109,10.200991216666663,4.4766,559384.228,555249.1070000001,559384.228
FeAg2Sn3S8,mp-1225099,16.166309509999998,1.7393,560926.418,559460.409,560926.418
GaAgO2,mp-11020,11.231656350000002,2.1104000000000003,561166.627,560665.842,561166.627
RbZnB(PO4)2,mp-557658,5.906330693333334,6.9763,561286.038,548781.576,561286.038
GaAgSe2,mp-5518,12.832806556666668,1.3593000000000002,561744.391,558956.724,561744.391
GaBPbO4,mp-505743,11.306531946666666,4.3447,562434.923,553796.696,562434.923
K2Zr(BO3)2,mp-8891,10.975330386666666,5.3547,564371.119,563711.787,564371.119
CsGa(SO4)2,mp-1213179,6.39281011,6.3508,564825.268,563650.133,564825.268
Sb2O3,mp-2136,20.69621528333333,2.825500000000001,565737.734,565074.306,565737.734
